213,terminating,"213,75,49,8,7,1,0"
93,terminating,"93,35,13,1,0"
264,terminating,"264,456,744,1176,2244,3804,5100,10524,14060,17860,22460,24748,20612,15466,11894,6946,3998,2002,2030,2290,1850,1684,1270,1034,694,350,394,200,265,59,1,0"
64,terminating,"64,63,41,1,0"
265,terminating,"265,59,1,0"
304,terminating,"304,316,244,190,170,154,134,70,74,40,50,43,1,0"
266,terminating,"266,214,110,106,56,64,63,41,1,0"
126,terminating,"126,186,198,270,450,759,393,135,105,87,33,15,9,4,3,1,0"
267,terminating,"267,93,35,13,1,0"
268,terminating,"268,208,226,116,94,50,43,1,0"
269,terminating,"269,1,0"
214,terminating,"214,110,106,56,64,63,41,1,0"
270,terminating,"270,450,759,393,135,105,87,33,15,9,4,3,1,0"
271,terminating,"271,1,0"
94,terminating,"94,50,43,1,0"
127,terminating,"127,1,0"
305,terminating,"305,67,1,0"
215,terminating,"215,49,8,7,1,0"
272,terminating,"272,286,218,112,136,134,70,74,40,50,43,1,0"
128,terminating,"128,127,1,0"
95,aspiring,"95,25,6"
216,terminating,"216,384,636,876,1196,1156,993,335,73,1,0"
96,terminating,"96,156,236,184,176,196,203,37,1,0"
321,terminating,"321,111,41,1,0"
322,terminating,"322,254,130,122,64,63,41,1,0"
323,terminating,"323,37,1,0"
353,terminating,"353,1,0"
324,terminating,"324,523,1,0"
325,terminating,"325,109,1,0"
326,terminating,"326,166,86,46,26,16,15,9,4,3,1,0"
354,terminating,"354,366,378,582,594,846,1026,1374,1386,2358,2790,4698,6192,11540,12736,12664,11096,11104,10820,11944,10466,5236,6860,9940,14252,14308,15218,10894,6746,3376,3196,2852,2524,1900,2440,3140,3496,3704,3256,3584,4600,6560,9316,8072,7078,3542,3370,2714,1606,1058,601,1,0"
355,terminating,"355,77,19,1,0"
356,terminating,"356,274,140,196,203,37,1,0"
357,terminating,"357,219,77,19,1,0"
358,terminating,"358,182,154,134,70,74,40,50,43,1,0"
327,terminating,"327,113,1,0"
359,terminating,"359,1,0"
328,terminating,"328,302,154,134,70,74,40,50,43,1,0"
329,terminating,"329,55,17,1,0"
360,terminating,"360,810,1368,2532,3404,2980,3320,4240,5804,4360,5540,6136,6464,6490,6470,5194,4040,5140,5696,5734,3194,1600,2337,1023,513,287,49,8,7,1,0"
330,terminating,"330,534,546,798,1122,1470,2634,2646,4194,4932,7626,8502,9978,9990,17370,28026,35136,67226,33616,37808,40312,35288,37072,45264,79728,146448,281166,281178,363942,424638,526338,722961,321329,1,0"
331,terminating,"331,1,0"
273,terminating,"273,175,73,1,0"
332,terminating,"332,256,255,177,63,41,1,0"
333,terminating,"333,161,31,1,0"
334,terminating,"334,170,154,134,70,74,40,50,43,1,0"
335,terminating,"335,73,1,0"
336,terminating,"336,656,646,434,334,170,154,134,70,74,40,50,43,1,0"
337,terminating,"337,1,0"
338,terminating,"338,211,1,0"
339,terminating,"339,117,65,19,1,0"
340,terminating,"340,416,466,236,184,176,196,203,37,1,0"
361,terminating,"361,20,22,14,10,8,7,1,0"
274,terminating,"274,140,196,203,37,1,0"
217,terminating,"217,39,17,1,0"
275,terminating,"275,97,1,0"
218,terminating,"218,112,136,134,70,74,40,50,43,1,0"
219,terminating,"219,77,19,1,0"
220,amicable,"220,284"
221,terminating,"221,31,1,0"
341,terminating,"341,43,1,0"
362,terminating,"362,184,176,196,203,37,1,0"
342,terminating,"342,438,450,759,393,135,105,87,33,15,9,4,3,1,0"
363,terminating,"363,169,14,10,8,7,1,0"
343,terminating,"343,57,23,1,0"
